FID,DISTNAME,POPULATION
0,Bagerhat,1476090
1,Bandarban,388335
2,Barguna,892781
3,Barisal,2324310
4,Bhola,1776795
5,Bogra,3400874
6,Brahmanbaria,2840498
7,Chandpur,2416018
8,Chittagong,7616352
9,Chuadanga,1129015
10,Comilla,5387288
11,Cox's Bazar,2289990
12,Dhaka,12043977
13,Dinajpur,2990128
14,Faridpur,1912969
15,Feni,1437371
16,Gaibandha,2379255
17,Gazipur,3403912
18,Gopalganj,1172415
19,Habiganj,2089001
20,Jamalpur,2292674
21,Jessore,2764547
22,Jhalokati,682669
23,Jhenaidah,1771304
24,Joypurhat,913768
25,Khagrachhari,613917
26,Khulna,2318527
27,Kishoreganj,2911907
28,Kurigram,2069273
29,Kushtia,1946838
30,Lakshmipur,1729188
31,Lalmonirhat,1256099
32,Madaripur,1165952
33,Magura,918419
34,Manikganj,1445660
35,Maulvibazar,1919062
36,Meherpur,655392
37,Munshiganj,1445660
38,Mymensingh,5110272
39,Naogaon,2600157
40,Narail,721668
41,Narayanganj,2948217
42,Narsingdi,2224944
43,Natore,1706673
44,Chapai Nawabganj,1647521
45,Netrakona,2229642
46,Nilphamari,1834231
47,Noakhali,3108083
48,Pabna,2523179
49,Panchagarh,987644
50,Patuakhali,1535854
51,Pirojpur,1113257
52,Rajbari,1049778
53,Rajshahi,2595197
54,Rangamati,595979
55,Rangpur,2881086
56,Satkhira,1985959
57,Shariatpur,1155824
58,Sherpur,1358325
59,Sirajganj,3097489
60,Sunamganj,2467968
61,Sylhet,3434188
62,Tangail,3605083
63,Thakurgaon,1390042
